"Country Name","Country Code","Year","Agriculture (% GDP)","Ease of Doing Business","Education Expenditure (% GDP)","Export (% GDP)","GDP","Health Expenditure (% GDP)","Import (% GDP)","Industry (% GDP)","Inflation Rate","R&D","Service (% GDP)","Unemployment","Population","Land","Continent Name","Export","Import","Education Expenditure","Health Expenditure","Net Trade","GDP Per Capita","Population Density"
"Canada","CAN",2020,1.82373910790843,79.583546,10,29.6808453346886,1647598402302.68,12.93967533,31.9210782008806,26.8649274908821,0.716999632307852,27973091320.9612,64.6010144123475,9.46,38007166,9879750,"North America",489021133524.259,525931174435.498,164759840230.268,213193884000.234,-36910040911.239,43349.677855557,3.84697649232015
"Canada","CAN",2021,1.82373910790843,79.583546,12.0825117429097,30.9139877064956,2001486745423.92,11.67882252,30.9554282763353,26.8649274908821,3.39519318527532,36492145004.9516,64.6010144123475,7.46,38226498,9879750,"North America",618739366427.49,619568793940.059,241829871048.627,233750084759.384,-829427512.569702,52358.6216405154,3.86917664920671
"Canada","CAN",2022,1.82373910790843,79.583546,12.0825117429097,33.7184874326734,2139840023673.81,10.1503085654545,33.5439527000462,26.8649274908821,6.80280115341612,39014673771.8039,64.6010144123475,5.209,38929902,9879750,"North America",721521689461.769,717786925397.8,258546422139.871,217200365209.987,3734764063.96887,54966.4888361088,3.94037318758066
"China","CHN",2012,9.11371387030751,68.171342,14.4801797866821,25.4925222245396,8532185615746.62,4.56584787,22.7750001428637,45.4229807420935,2.61952432645544,163147335038.661,45.463305387599,4.58,1354190000,9600000.9,"Asia",2175069314333.18,1943205286175.69,1235475816893.54,389566615201.013,231864028157.489,6300.58235236313,141.061445108823
"China","CHN",2013,8.94289396230057,68.171342,13.4870796203613,24.599254436897,9570470577244.86,4.71490669,22.1451211404583,44.1767045363398,2.62105001748115,191204599151.943,46.8804015015283,4.6,1363240000,9600001.3,"Asia",2354264408104.83,2119392303042.79,1290776986796.27,451238757511,234872105062.035,7020.38568208449,142.004147436938
"China","CHN",2014,8.64349139629661,68.171342,12.8535099029541,23.5100609074235,10475624783235.6,4.77790594,21.3951550469261,43.0855681093574,1.92164162788521,211862172341.361,48.270940494346,4.63,1371860000,9600006.3,"Asia",2462825766971.84,2241276164507.47,1346485468909.5,500515498770.326,221549602464.368,7636.07422276005,142.901989553903
"China","CHN",2015,8.38701488219603,62.27669,12.1019296646118,21.3540798828848,11061573199439.7,4.93827963,18.110089452417,40.8413399694664,1.43702380935655,227537659721.699,50.7716451484828,4.65,1379860000,9600007.4,"Asia",2362097177312.13,2003260801263.11,1338663808395.74,546251416065.47,358836376049.015,8016.44601585646,143.735305870702
"China","CHN",2016,8.0572875346436,63.79116,11.885479927063,19.5843800536482,11233314018690.1,4.97955608,17.3100349634307,39.5806215022693,2.00000182191941,235936677175.691,52.3620909629531,4.56,1387790000,9600010.5,"Asia",2199974910040.01,1944490584187.22,1335133282835.37,559369171203.175,255484325852.792,8094.39037512167,144.561300219411
"China","CHN",2017,7.46356501656873,64.20096,11.5886898040771,19.6922769882201,12310491176727.3,5.06592178,17.9401362522062,39.8516984491913,1.59313600071434,260493683713.784,52.6847365342399,4.47,1396215000,9600010.8,"Asia",2424216021131.54,2208518890420.7,1426624635829.21,623639853746.807,215697130710.836,8817.04549566313,145.438898881239
"China","CHN",2018,7.04302025319625,73.30366,10.758620262146,19.1121035364139,13894907485398.9,5.16790485,18.4536805657234,39.6870118233885,2.07479039965578,297431602159.572,53.2699679234152,4.31,1402760000,9600012.9,"Asia",2655609104898.36,2564121842258.3,1494900332130.57,718075597840.943,91487262640.061,9905.40611751041,146.120636983727
